"";"x"
"1";0
"2";0,626589123153245
"3";0
"4";0
"5";0
"6";0
"7";0
"8";0
"9";0,30490791924553
"10";0
"11";0
"12";0
"13";0
"14";0
"15";0
"16";0
"17";0
"18";0
"19";0
"20";8,36793373930277
"21";0
"22";0,000316132068678912
"23";0
"24";0
"25";0
"26";0
"27";0
"28";0
"29";0
"30";0
"31";0
"32";0
"33";17,812880385064
"34";19,0308682838918
"35";0
"36";8,10040434458996
"37";0
"38";0
"39";0
"40";263,813659524939
"41";0,020257250317937
"42";0
"43";94,2101111206095
"44";171,938873287125
"45";0
"46";0
"47";0
"48";0
"49";0,00196031893595133
"50";0
"51";0
"52";0,00836734570309777
"53";0
"54";0
"55";0
"56";0
"57";0
"58";0
"59";0
"60";0
"61";0
"62";0
"63";0
"64";0
"65";0
"66";0
"67";3,1453415322365
"68";0
"69";0
"70";0
"71";0,200080128342577
"72";0
"73";0
"74";0
"75";0
"76";0
"77";0
"78";0
"79";0
"80";0
"81";0
"82";0
"83";0
"84";0
"85";0
"86";0
"87";0
"88";0
"89";0
"90";0
"91";0,684777440350424
"92";6,99878345850408
"93";8,75254959429833
"94";68,225442890482
"95";0
"96";0
"97";0
"98";0
"99";0
"100";0
"101";0
"102";0
"103";0
"104";0
"105";0
"106";0
"107";0
"108";0
"109";0
"110";0
"111";85,7698212716173
"112";0,537564939419191
"113";0
"114";0
"115";0
"116";0
"117";2,85369437285879
"118";0,0478999789032363
"119";0
"120";0
"121";0
"122";0
"123";0
"124";0
"125";0
"126";0
"127";43,1051526627741
"128";0
"129";0
"130";0
"131";0
"132";0
"133";0
"134";0
"135";0
"136";0
"137";0
"138";0
"139";0
"140";855,895828084903
"141";0
"142";0
"143";0
"144";0
"145";0
"146";0
"147";0,0402691611131899
"148";0,0662964298029156
"149";0,0145738258562192
"150";463,388110126805
"151";0
"152";0
"153";0
"154";0
"155";0
"156";0
"157";0
"158";0
"159";0
"160";0
"161";0
"162";0
"163";322,695035061753
"164";0
"165";0,00206453057494652
"166";1,74200719528185
"167";788,947958882307
"168";0
"169";0
"170";0
"171";0
"172";0
"173";449,221240108301
"174";224,451544645769
"175";0
"176";0
"177";0
"178";0
"179";0
"180";0
"181";0
"182";3,82305122383228
"183";0
"184";0
"185";0
"186";0
"187";0
"188";0
"189";0
"190";0
"191";0
"192";0
"193";0
"194";0
"195";0
"196";0
"197";0
"198";0
"199";0
"200";0
"201";0
"202";0
"203";0
"204";0
"205";0
"206";0
"207";0
"208";0
"209";0
"210";0
"211";0
"212";0
"213";0
"214";0
"215";0
"216";0
"217";0
"218";0
"219";0
"220";0
"221";0
"222";0
"223";0
"224";0
"225";0
"226";0
"227";0
"228";0
"229";0
"230";0
"231";0
"232";0
"233";0
"234";0
"235";0
"236";0
"237";0
"238";0
"239";0
"240";0
"241";0
"242";0
"243";0
"244";0
"245";0
"246";0
"247";0
"248";0
"249";0
"250";0
"251";0
"252";0
"253";0
"254";0
"255";0
"256";0
"257";0
"258";0
"259";0
"260";0
"261";0,00686865573837319
"262";19,1611638100418
"263";0
"264";0,00458176582235967
"265";0
"266";0
"267";0
"268";0
"269";0
"270";0
"271";0
"272";0
"273";0
"274";0
"275";0
"276";0
"277";0
"278";0
"279";0
"280";0
"281";0
"282";0
"283";0
"284";0
"285";0
"286";0
"287";0
"288";0
"289";2,95880340405092
"290";0
"291";1738,07424194611
"292";0
"293";582,225127720785
"294";63,0510339493345
"295";0
"296";0
"297";47,0245707959731
"298";0
"299";0
"300";49,085766608502
"301";0
"302";0
"303";0
"304";1510,67675381995
"305";0
"306";0
"307";0
"308";0
"309";0
"310";0
"311";0
"312";59,0992471440435
"313";0
"314";0
"315";0
"316";0
"317";0
"318";0
"319";0
"320";0
"321";0
"322";0
"323";0
"324";0
"325";0
"326";0
"327";0,00353280308620856
"328";147,414235959927
"329";0
"330";0
"331";0
"332";0
"333";0
"334";0
"335";0
"336";0
"337";0
"338";0,334326110422716
"339";0
"340";0
"341";2,15726960846371
"342";0
"343";0
"344";0
"345";0
"346";0
"347";0
"348";0
"349";0
"350";0
"351";0,101111711535072
"352";4,10491044073701
"353";0
"354";6,79045137689856
"355";0
"356";0
"357";0
"358";0
"359";0
"360";0
"361";0
"362";0
"363";0
"364";0
"365";0
"366";0
"367";0
"368";0
"369";0
"370";0
"371";0
"372";0
"373";0
"374";0
"375";0
"376";0
"377";0,19777864106929
"378";0
"379";0,718561733381447
"380";0
"381";0
"382";0
"383";0
"384";0
"385";0
"386";0
"387";0,0909563126408568
"388";0
"389";0
"390";0
"391";0
"392";0
"393";5,53615606332796e-05
"394";1,39417146980348e-05
"395";0
"396";0
"397";0
"398";0
"399";0
"400";12,9130901476203
"401";0
"402";0
"403";0
"404";0
"405";0
"406";0
"407";0
"408";0
"409";0
"410";4,32644582713802
"411";0
"412";0
"413";0
"414";0
"415";0
"416";0
"417";0
"418";0
"419";0
"420";0
"421";0
"422";0
"423";1,23655554325587
"424";2,56565105341714
"425";0
"426";0
"427";9,15628322852633
"428";0
"429";0
"430";0
"431";2,43554345634998
"432";30,5221419958441
"433";0
"434";20,2158649185937
"435";0
"436";0
"437";0
"438";0
"439";0
"440";0
"441";0
"442";0
"443";0
"444";0
"445";0
"446";0
"447";0
"448";0
"449";0
"450";0
"451";0
"452";0
"453";0
"454";0
"455";0
"456";0
"457";49,9987662570538
"458";0,000923661212602057
"459";152,288435391663
"460";0
"461";0,405738978602567
"462";0
"463";0
"464";0
"465";4,27590086307788
"466";0
"467";0
"468";0
"469";0
"470";0
"471";35,1619936331136
"472";0
"473";0
"474";0
"475";0
"476";0
"477";0
"478";0
"479";0
"480";0
"481";0,057964673875136
"482";0
"483";0
"484";0
"485";0
"486";0
"487";0
"488";0
"489";0
"490";0
"491";0
"492";0
"493";0
"494";0
"495";0
"496";0
"497";0
"498";0
"499";0
"500";0
"501";0
"502";0
"503";0
"504";0
"505";0
"506";0
"507";0
"508";0
"509";1,2381568306517
"510";0
"511";0
"512";0
"513";0
"514";0
"515";0
"516";0
"517";0
"518";0
"519";0
"520";0
"521";0
"522";0,471772080644521
"523";0
"524";0,0133219543814925
